Name,Type,Transmission,General,Gram Stain,Morphology,Laboratory,Treatment,Prevention,Disease,Signs,Related,Sources
Acinetobacter,Bacteria,,Hospital acquired; Soldiers returning from Middle East theatre; Frequently drug resistant,Gram negative,Small coccobacilli often in pairs resembling diplococci,Aerobic culture; Non-lactose-fermenting; Oxidase negative,PCN; NSAIDs; Steroids,,,,,
Aggregatibacter spp,Bacteria,,HACEK organism -> Culture negative organisms causing fever of unknown origin (FUO) in endocarditis,Gram negative,,,,,Endocarditis -> Subacute,,,
Actinomyces israelii,Bacteria,,Present in normal human flora; Dental surgery -> Actinomycosis of cervico-facial region (also poor oral hygiene),Gram positive,Branching filaments -> Rods that form chains,Sulfur granules in exudates; Not acid fast; Anaerobe,Penicillin; Clindamycin; Cephalosporins; Tetracyclines; Tacrolides,,Oral/facial abscesses; Actinomycosis -> Abscesses that form sinus tracts to surface,"""Lumpy jaw""; Sulfur granules -> Don't actually contain sulfur",Nocardia -> Also branching bacteria,
Adenovirus,Virus,Close contact (e.g. military barracks); Swimming pools; Spread: Fecal-oral; Spread: Aerosol,"Serotypes 1, 2, 5, 6 -> Endemic in most populations; Serotypes 4, 7 -> Associated with ARDS",,Icosahedral; Non-enveloped DNA,Serology,Supportive -> Self-limited,Infection control; Previous live oral vaccine (discontinued),Respiratiry tract infection; pneumonia; ARDS; Gastroenteritis; Cystitis (transplant patients); Conjunctivitis,,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 401-409"
Anaplasma phagocytophilum,Bacteria,Tick-borne,Granulocytes,,Intracellular -> Obligate,Morula in granulocyte,,,Human granulocytic anaplasmosis,,Orientia tsutsugamushi -> Other Ricketssial Zoonoses; Ehrlichia spp -> Other Ricketssial Zoonoses; Rickettsia rickettsii -> Other Ricketssial Zoonoses,
Angiostrongylus cantonensis (rat lungworm),Nematode,,Ingestion of snails/slugs or prawns/crabs,,,Eosinophilia,Supportive,,Meningitis -> Eosinophilic,Headache; Paresthesias; Neck stiffness; Photophobia,,
Anisakis simplex,Nematode,Raw/undercooked seafood,Abdominal pain after sushi,,,,Endoscopic removal,Avoid contaminated fish,,Vomiting; Pain; Urticaria -> Mild itchy sensation at back of throat; Severe: Anaphylactic shock,,
Ascaris lumbricoides,Nematode,Soil-transmitted helminth,Giant roundworm (helminth); Common human parasite worldwide; Affects around one-fourth of population (including parts of Southern US),,,Ova in stool,Mebendazole; albendazole,,Migratory pulmonary infiltrate,Eosinophilia,,"Schaechter's Mechanisms of Microbial Disease, 5th edition, pp. 531-533"
Aspergillus fumigatus,Fungus,,Spores -> Airborne; pulmonary symptoms + neutropenia,,Acute angle branching,,Invasive: Voriconazole or amphotericin B; Aspergilloma: Surgical resection + antifungal; ABPA: Corticosteroids + itraconazole,,Invasive Aspergillosis; Chronic necrotizing aspergillosis; Aspergilloma; Allergic bronchopulmonary aspergillosis (ABPA); Allergic sinusitis,Fever; Wheezes; Cough; Hemoptysis; Chest pain; Bronchiectasis,,
Babesia,Protozoa,Ixodes tick,Pt s/p splenectomy,,,,,,Malaria -> In US citizen who hasn't traveled,,,
